ACTIONTIME	ACTIONCODE	IDENTIFIER	SERIAL	NODE	NODEALIAS	MANAGER	AGENT	ALERTGROUP	ALERTKEY	SEVERITY	SUMMARY	STATECHANGE	FIRSTOCCURRENCE	LASTOCCURRENCE	INTERNALLAST	POLL	TYPE	TALLY	CLASS	GRADE	LOCATION	OWNERUID	OWNERGID	ACKNOWLEDGED	FLASH	EVENTID	EXPIRETIME	PROCESSREQ	SUPPRESSESCL	CUSTOMER	SERVICE	PHYSICALSLOT	PHYSICALPORT	PHYSICALCARD	TASKLIST	NMOSSERIAL	NMOSOBJINST	NMOSCAUSETYPE	NMOSDOMAINNAME	NMOSENTITYID	NMOSEVENTMAP	NMOSMANAGEDSTATUS	LOCALNODEALIAS	LOCALPRIOBJ	LOCALSECOBJ	LOCALROOTOBJ	REMOTENODEALIAS	REMOTEPRIOBJ	REMOTESECOBJ	REMOTEROOTOBJ	X733EVENTTYPE	X733PROBABLECAUSE	X733SPECIFICPROB	X733CORRNOTIF	ELEMENTNAME	ELEMENTPARENT	ELEMENTTYPE	PROVIDER	DOMAIN	TECHNOLOGY	LOGTICKET	SERVERNAME	SERVERSERIAL	CELLID	REGION	CRITICOS	SITEID
2013-11-01 00:00:25	I	SGSNCCS05 SGSNCCS05 x1 gtpPathFailureUserPlane 0 2 Ericsson OSS IRPAgent ericsson_oss_rc_evolution probe running on nocspos2 The SGSN has lost the connection on the Userplane path = ((eqm02s0dp2) 172.16.89.161:35232 <-> 172.17.197.13)	61057518	SGSNCCS05	SGSNCCS05	ericsson_oss_rc_evolution probe running on nocspos2	Ericsson OSS IRPAgent	ET_COMMUNICATIONS_ALARM - gtpPathFailureUserPlane - PC_INDETERMINATE	dgtossadm1,SubNetwork=ONRM_ROOT_MO,ManagedElement=SGSNCCS05	0	Cleared alarm ( gtpPathFailureUserPlane ) on SGSNCCS05 : PC_INDETERMINATE  - 92581265	2013-10-31 23:59:34	2013-10-31 23:59:16	2013-10-31 23:59:16	2013-10-31 23:59:30	0	2	1	2455	0		65534	0	0	0		2592000	0	0			0	0		0		0	0		0		0									0	0			SGSNCCS05	SGSNCCS05		Ericsson	Movil		0	COL_B_1	16408187	0	0	0	0
2013-11-01 00:00:25	I	SGSNCCS05 SGSNCCS05 x1 gtpPathFailureUserPlane 0 2 Ericsson OSS IRPAgent ericsson_oss_rc_evolution probe running on nocspos2 The SGSN has lost the connection on the Userplane path = ((eqm02s05p2) 172.16.89.161:34976 <-> 172.17.5.9)	61057516	SGSNCCS05	SGSNCCS05	ericsson_oss_rc_evolution probe running on nocspos2	Ericsson OSS IRPAgent	ET_COMMUNICATIONS_ALARM - gtpPathFailureUserPlane - PC_INDETERMINATE	dgtossadm1,SubNetwork=ONRM_ROOT_MO,ManagedElement=SGSNCCS05	0	Cleared alarm ( gtpPathFailureUserPlane ) on SGSNCCS05 : PC_INDETERMINATE  - 92580249	2013-10-31 23:59:34	2013-10-31 23:48:17	2013-10-31 23:59:16	2013-10-31 23:59:30	0	2	1	2455	0		65534	0	1	0		2592000	0	0			0	0		0		0	0		0		0									0	0			SGSNCCS05	SGSNCCS05		Ericsson	Movil		0	COL_B_1	16407637	0	0	0	0
2013-11-01 00:00:25	I	RNC15CCS RNC15CCS x5 Ip over ATM Link Supervision Recovered 0 2 Ericsson OSS IRPAgent ericsson_oss_rc_evolution probe running on nocspos2 -ProbableCause(OSS)=Indeterminate	61057515	RNC15CCS	RNC15CCS	ericsson_oss_rc_evolution probe running on nocspos2	Ericsson OSS IRPAgent	ET_EQUIPMENT_ALARM - Ip over ATM Link Supervision Recovered - PC_INDETERMINATE	dgtossadm1,SubNetwork=ONRM_ROOT_MO,SubNetwork=RNC15CCS,MeContext=RNC15CCS,ManagedElement=1,IpOam=1,Ip=1,IpAtmLink=b0194ia	0	New alarm ( Ip over ATM Link Supervision Recovered ) on RNC15CCS : PC_INDETERMINATE  - 92581270	2013-10-31 23:59:34	2013-10-31 23:02:16	2013-10-31 23:59:16	2013-10-31 23:59:30	0	2	1	2455	0		65534	0	0	0		2592000	0	0			0	0		0		0	0		0		0									0	0			RNC15CCS	RNC15CCS		Ericsson	Movil		0	COL_B_1	16405592	0	0	0	0
2013-11-01 00:00:25	I	SGSNCCS04 SGSNCCS04 x1 sctpIPPathFailure 0 2 Ericsson OSS IRPAgent ericsson_oss_rc_evolution probe running on nocspos2 The IP path 172.16.87.146 (local) - 172.17.240.231 (remote) is INACTIVE. AssocId is 261. UlpKey is 0x20000000: HiWord=8192, LoWord=0.	61057519	SGSNCCS04	SGSNCCS04	ericsson_oss_rc_evolution probe running on nocspos2	Ericsson OSS IRPAgent	ET_COMMUNICATIONS_ALARM - sctpIPPathFailure - PC_INDETERMINATE	dgtossadm1,SubNetwork=ONRM_ROOT_MO,ManagedElement=SGSNCCS04	0	Cleared alarm ( sctpIPPathFailure ) on SGSNCCS04 : PC_INDETERMINATE  - 92581293	2013-10-31 23:59:34	2013-10-31 23:59:16	2013-10-31 23:59:16	2013-10-31 23:59:30	0	2	1	2455	0		65534	0	0	0		2592000	0	0			0	0		0		0	0		0		0									0	0			SGSNCCS04	SGSNCCS04		Ericsson	Movil		0	COL_B_1	16408188	0	0	0	0
2013-11-01 00:00:25	I	SGSNCCS04 SGSNCCS04 x1 sctpIPPathFailure 0 2 Ericsson OSS IRPAgent ericsson_oss_rc_evolution probe running on nocspos2 The IP path 172.16.87.145 (local) - 172.17.240.231 (remote) is INACTIVE. AssocId is 261. UlpKey is 0x20000000: HiWord=8192, LoWord=0.	61057520	SGSNCCS04	SGSNCCS04	ericsson_oss_rc_evolution probe running on nocspos2	Ericsson OSS IRPAgent	ET_COMMUNICATIONS_ALARM - sctpIPPathFailure - PC_INDETERMINATE	dgtossadm1,SubNetwork=ONRM_ROOT_MO,ManagedElement=SGSNCCS04	0	Cleared alarm ( sctpIPPathFailure ) on SGSNCCS04 : PC_INDETERMINATE  - 92580585	2013-10-31 23:59:34	2013-10-31 23:59:17	2013-10-31 23:59:17	2013-10-31 23:59:30	0	2	1	2455	0		65534	0	1	0		2592000	0	0			0	0		0		0	0		0		0									0	0			SGSNCCS04	SGSNCCS04		Ericsson	Movil		0	COL_B_1	16408189	0	0	0	0
2013-11-01 00:00:25	I	EPGVAL02 EPGVAL02 x4 Alarm Rate Threshold Crossed 351 1 Ericsson OSS IRPAgent ericsson_oss_rc_evolution probe running on nocspos2 Alarm rate threshold exceeded, over 500 alarms within 5 minutes.	61057517	EPGVAL02	EPGVAL02	ericsson_oss_rc_evolution probe running on nocspos2	Ericsson OSS IRPAgent	ET_QUALITY_OF_SERVICE_ALARM - Alarm Rate Threshold Crossed - PC_THRESHOLD_CROSSED	dgtossadm1,SubNetwork=ONRM_ROOT_MO,ManagedElement=EPGVAL02	5	New alarm ( Alarm Rate Threshold Crossed ) on EPGVAL02 : PC_THRESHOLD_CROSSED - 92581269	2013-10-31 23:59:51	2013-10-31 23:59:16	2013-10-31 23:59:16	2013-10-31 23:59:30	0	1	1	2455	0		65534	0	0	0		2592000	0	0			0	0		0		0	0		0		0									0	0			EPGVAL02	EPGVAL02		Ericsson	Movil		0	COL_B_1	16408186	0	2	1	0
2013-11-01 00:00:25	I	202677903 2 DC=www.huawei.com , SubNetwork=1 , ManagementNode=1 , IRPAgent=1 huawei_M2000_corba probe running on m2000srv	61057523	BSC6900_BTO	BSC6900_BTO	huawei_M2000_corba probe running on m2000srv	DC=www.huawei.com , SubNetwork=1 , ManagementNode=1 , IRPAgent=1	Equipment Alarm - Fan Alarm	Site No.=93, Board Type=PMU, Board No.=0, PassNo=255, SubLink No.=2, CellNo=65535, Site Type=BTS312, RackNo=255, BoxNo=255, SlotNo=255, Site Name=TRINITARIAS1	0	Site No.=93, Board Type=PMU, Board No.=0, PassNo=255, SubLink No.=2, CellNo=65535, Site Type=BTS312, RackNo=255, BoxNo=255, SlotNo=255, Site Name=TRINITARIAS1 UNSPECIFIED_REASON Equipment Alarm - ID: 2354	2013-10-31 23:59:39	2013-10-31 23:59:48	2013-10-31 23:59:48	2013-10-31 23:59:36	0	2	1	8891	0		65534	0	0	0	202677903	2592000	0	0			0	0		0		0	0		0		0									0	0			TRINITARIAS1	BSC6900_BTO		Huawei	Movil		0	COL_P_1	38780320	0	0	0	0
2013-11-01 00:00:25	I	202677923 2 DC=www.huawei.com , SubNetwork=1 , ManagementNode=1 , IRPAgent=1 huawei_M2000_corba probe running on m2000srv	61057524	BSC6900_MBO	BSC6900_MBO	huawei_M2000_corba probe running on m2000srv	DC=www.huawei.com , SubNetwork=1 , ManagementNode=1 , IRPAgent=1	Equipment Alarm - PMU Communication Alarm	Site No.=71, Board Type=PMU, Board No.=0, PassNo=255, SubLink No.=255, CellNo=65535, Site Type=BTS3012A, RackNo=255, BoxNo=255, SlotNo=255, Site Name=PLAZAREPUBLICA1	0	Site No.=71, Board Type=PMU, Board No.=0, PassNo=255, SubLink No.=255, CellNo=65535, Site Type=BTS3012A, RackNo=255, BoxNo=255, SlotNo=255, Site Name=PLAZAREPUBLICA1 UNSPECIFIED_REASON Equipment Alarm - ID: 2334	2013-10-31 23:59:39	2013-10-31 23:59:56	2013-10-31 23:59:56	2013-10-31 23:59:36	0	2	1	8891	0		65534	0	0	0	202677923	2592000	0	0			0	0		0		0	0		0		0									0	0			PLAZAREPUBLICA1	BSC6900_MBO		Huawei	Movil		0	COL_P_1	38780321	0	0	0	0
2013-11-01 00:00:25	I	202677928 2 DC=www.huawei.com , SubNetwork=1 , ManagementNode=1 , IRPAgent=1 huawei_M2000_corba probe running on m2000srv	61057526	BSC6900_MBO	BSC6900_MBO	huawei_M2000_corba probe running on m2000srv	DC=www.huawei.com , SubNetwork=1 , ManagementNode=1 , IRPAgent=1	Communication Alarm - E1 Remote Alarm	Site No.=47, Board Type=TMU, Board No.=0, PassNo=255, SubLink No.=0, CellNo=65535, Site Type=BTS3012A, RackNo=255, BoxNo=255, SlotNo=255, Site Name=ARREAGA1	0	Site No.=47, Board Type=TMU, Board No.=0, PassNo=255, SubLink No.=0, CellNo=65535, Site Type=BTS3012A, RackNo=255, BoxNo=255, SlotNo=255, Site Name=ARREAGA1 UNSPECIFIED_REASON Communication Alarm - ID: 2216	2013-10-31 23:59:39	2013-10-31 23:59:59	2013-10-31 23:59:59	2013-10-31 23:59:36	0	2	1	8891	0		65534	0	0	0	202677928	2592000	0	0			0	0		0		0	0		0		0									0	0			ARREAGA1	BSC6900_MBO		Huawei	Movil		0	COL_P_1	38780323	0	0	0	0
2013-11-01 00:00:25	D		61057254																																																											COL_P_1	38780177				
